mechanism,prespecified_gene,accession,uniref90,organism,protein_name,reviewed,evidence_url,query_status,n_cohorts_detected
colibactin_genotoxicity,clbD,Q0P7J4,UniRef90_Q0P7J4,Escherichia coli,Colibactin biosynthesis dehydrogenase ClbD (Putative 3-hydroxyacyl-CoA dehydrogenase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,9
colibactin_genotoxicity,clbE,Q0P7J5,UniRef90_Q0P7J5,Escherichia coli,Colibactin biosynthesis aminomalonyl-acyl carrier protein ClbE (D-alanyl carrier protein),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,9
colibactin_genotoxicity,clbF,Q0P7J6,UniRef90_Q0P7J6,Escherichia coli,3-sulfinopropanoyl-CoA desulfinase (EC 3.13.1.4) (3-sulfinopropionyl coenzyme A desulfinase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbG,Q0P7J7,UniRef90_Q0P7J7,Escherichia coli,[acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbH,Q0P7J8,UniRef90_A8AEV4,Escherichia coli,Peptide synthetase (Putative non-ribosomal peptide synthase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
colibactin_genotoxicity,clbI,Q0P7J9,UniRef90_Q0P7J9,Escherichia coli,Polyketide synthase (EC 2.3.1.41) (Putative polyketide synthase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbJ,Q0P7K0,UniRef90_A8AEV6,Escherichia coli,Colibactin non-ribosomal peptide synthetase ClbJ (Putative non-ribosomal peptide synthase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
colibactin_genotoxicity,clbK,Q0P7K1,UniRef90_A8AEV7,Escherichia coli,Putative hybrid non-ribosomal peptide-polyketide synthetase,unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
colibactin_genotoxicity,clbL,Q0P7K2,UniRef90_Q0P7K2,Escherichia coli,Colibactin biosynthesis amidase ClbL (Putative amidase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
colibactin_genotoxicity,clbM,Q0P7K3,UniRef90_Q0P7K3,Escherichia coli,Multidrug-efflux transporter,unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbN,Q0P7K4,UniRef90_Q0P7K4,Escherichia coli,Colibactin non-ribosomal peptide synthetase ClbN (Putative non-ribosomal peptide synthetase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbO,Q0P7K5,UniRef90_Q0P7K5,Escherichia coli,Colibactin polyketide synthase ClbO (Putative polyketide synthase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
colibactin_genotoxicity,clbP,Q0P7K6,UniRef90_Q0P7K6,Escherichia coli,Beta-lactamase (EC 3.5.2.6),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbQ,Q0P7K7,UniRef90_Q0P7K7,Escherichia coli,Thioesterase (EC 1.1.-.-) (Putative thioesterase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbR,Q0P7J1,UniRef90_Q0P7J1,Escherichia coli,Transcriptional regulator (Putative regulatory protein),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,9
colibactin_genotoxicity,clbS,Q0P7K8,UniRef90_A8AEW4,Escherichia coli,Colibactin self-protection protein ClbS (Uncharacterized conserved protein),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q4U4E8,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesin A,unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q4U4F1,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesin A,unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q4U4F3,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesin A (Adhesion protein FadA),unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q4U4F4,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesin A (Adhesion protein FadA),unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q4U4F7,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesin A,unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fadA,Q5I6B0,UniRef90_A0ABR4WNH4,Fusobacterium nucleatum,Adhesion A (Adhesion protein FadA),unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
fusobacterial_adhesion,fap2,A0ABV3Y820,UniRef90_A0ABV3Y820,Fusobacterium vincentii (Fusobacterium nucleatum subsp. vincentii),Galactose-inhibitable autotransporter adhesin Fap2,unreviewed,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,mapped_but_not_detected,0
secondary_bile_acid,baiA1,B0NHE4,UniRef90_P19337,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),3alpha-hydroxybile acid CoA 3-dehydrogenase (EC 1.1.1.395),unreviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiA1,P07914,UniRef90_P19337,Clostridium scindens (strain JCM 10418 / VPI 12708),3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 1/3) (3alpha-HSDH 1/3) (Bile acid-inducible protein BaiA1) (Bile acid-inducible protein BaiA3),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiA2,B0NI17,UniRef90_B0NI17,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid 7-dehydroxylase 2 (EC 1.1.1.395),unreviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,mapped_but_not_detected,0
secondary_bile_acid,baiA2,P19337,UniRef90_P19337,Clostridium scindens (strain JCM 10418 / VPI 12708),3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 2 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 2) (3alpha-HSDH 2) (Bile acid-inducible protein BaiA2),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiB,A0A494WIV0,UniRef90_P19409,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid-coenzyme A ligase (EC 6.-.-.-),unreviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiB,P19409,UniRef90_P19409,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid--coenzyme A ligase (EC 6.2.1.7) (Cholate--CoA ligase),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiC,P19410,UniRef90_P19410,Clostridium scindens (strain JCM 10418 / VPI 12708),3-oxocholoyl-CoA 4-desaturase (EC 1.3.1.115) (Bile acid-inducible operon protein C) (Bile acid-inducible operon protein CD) (Bile acid-inducible operon protein D),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiD,P19410,UniRef90_P19410,Clostridium scindens (strain JCM 10418 / VPI 12708),3-oxocholoyl-CoA 4-desaturase (EC 1.3.1.115) (Bile acid-inducible operon protein C) (Bile acid-inducible operon protein CD) (Bile acid-inducible operon protein D),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,9
secondary_bile_acid,baiE,A0A494WPI3,UniRef90_P19412,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid 7-alpha dehydratase (EC 4.2.1.106),unreviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,8
secondary_bile_acid,baiE,P19412,UniRef90_P19412,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid 7alpha-dehydratase (BA7alphaD) (EC 4.2.1.106) (Bile acid-inducible operon protein E) (C24 bile acid 7alpha-dehydratase),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,8
secondary_bile_acid,baiF,B0NI16,UniRef90_P19413,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid-CoA transferase (EC 2.8.3.25),unreviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,8
secondary_bile_acid,baiF,P19413,UniRef90_P19413,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid CoA-transferase BaiF (EC 2.8.3.25) (Bile acid coenzyme A transferase) (Bile acid-inducible operon protein F) (Lithocholoyl-CoA:cholate CoA-transferase),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,8
secondary_bile_acid,baiH,P32370,UniRef90_P32370,Clostridium scindens (strain JCM 10418 / VPI 12708),7-beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase (EC 1.3.1.116) (NADH-dependent flavin oxidoreductase) (NADH:flavin oxidoreductase) (NADH:FOR),reviewed,https://pubmed.ncbi.nlm.nih.gov/36343662/,frozen_detected,10
secondary_bile_acid,baiJ,,,,,,https://pubmed.ncbi.nlm.nih.gov/36343662/,no_uniprot_hit,0
secondary_bile_acid,baiP,,,,,,https://pubmed.ncbi.nlm.nih.gov/36343662/,no_uniprot_hit,0
