mechanism,prespecified_gene,query,evidence_url,accession,gene_names,organism,protein_name,reviewed,query_status,uniref90,n_cohorts_detected
colibactin_genotoxicity,clbB,(gene_exact:clbB) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J2,clbB EWK56_24795,Escherichia coli,Colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbB (Putative hybrid polyketide-non-ribosomal peptide synthetase),unreviewed,frozen_detected,UniRef90_Q0P7J2,10
colibactin_genotoxicity,clbC,(gene_exact:clbC) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J3,clbC C1Q91_004440 EPS76_08170 EWK56_24790 FPI65_12395 PWL68_000569,Escherichia coli,Colibactin polyketide synthase ClbC (Putative polyketide synthase),unreviewed,frozen_detected,UniRef90_Q0P7J3,10
colibactin_genotoxicity,clbD,(gene_exact:clbD) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J4,clbD C1Q91_004441 D3C88_02255 EPS76_08175 EWK56_24785 FPI65_12390 PWL68_000570,Escherichia coli,Colibactin biosynthesis dehydrogenase ClbD (Putative 3-hydroxyacyl-CoA dehydrogenase),unreviewed,frozen_detected,UniRef90_Q0P7J4,9
colibactin_genotoxicity,clbE,(gene_exact:clbE) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J5,clbE D3C88_02260 EPS76_08180 EWK56_24780 FPI65_12385 NCTC9075_02725 PWL68_000571,Escherichia coli,Colibactin biosynthesis aminomalonyl-acyl carrier protein ClbE (D-alanyl carrier protein),unreviewed,frozen_detected,UniRef90_Q0P7J5,9
colibactin_genotoxicity,clbF,(gene_exact:clbF) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J6,clbF D3C88_02265 EPS76_08185 EWK56_24775 FPI65_12380 PWL68_000572,Escherichia coli,3-sulfinopropanoyl-CoA desulfinase (EC 3.13.1.4) (3-sulfinopropionyl coenzyme A desulfinase),unreviewed,frozen_detected,UniRef90_Q0P7J6,10
colibactin_genotoxicity,clbG,(gene_exact:clbG) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J7,clbG D3C88_02270 EWK56_24770 FPI65_12375 PWL68_000573,Escherichia coli,[acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39),unreviewed,frozen_detected,UniRef90_Q0P7J7,10
colibactin_genotoxicity,clbH,(gene_exact:clbH) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J8,clbH grsB EPS76_08195 EWK56_24765 FPI65_12370 NCTC9075_02730 PWL68_000574,Escherichia coli,Peptide synthetase (Putative non-ribosomal peptide synthase),unreviewed,mapped_but_not_detected,UniRef90_A8AEV4,0
colibactin_genotoxicity,clbI,(gene_exact:clbI) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J9,clbI ppsE_5 EPS76_08200 EWK56_24760 FPI65_12365 NCTC9075_02731 PWL68_000575,Escherichia coli,Polyketide synthase (EC 2.3.1.41) (Putative polyketide synthase),unreviewed,frozen_detected,UniRef90_Q0P7J9,10
colibactin_genotoxicity,clbJ,(gene_exact:clbJ) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K0,clbJ FPI65_12360,Escherichia coli,Colibactin non-ribosomal peptide synthetase ClbJ (Putative non-ribosomal peptide synthase),unreviewed,mapped_but_not_detected,UniRef90_A8AEV6,0
colibactin_genotoxicity,clbK,(gene_exact:clbK) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K1,clbK,Escherichia coli,Putative hybrid non-ribosomal peptide-polyketide synthetase,unreviewed,mapped_but_not_detected,UniRef90_A8AEV7,0
colibactin_genotoxicity,clbL,(gene_exact:clbL) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K2,clbL C1Q91_005015 D3C88_26935 EWK56_23785 FPI65_12350 PWL68_000577,Escherichia coli,Colibactin biosynthesis amidase ClbL (Putative amidase),unreviewed,mapped_but_not_detected,UniRef90_Q0P7K2,0
colibactin_genotoxicity,clbM,(gene_exact:clbM) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K3,clbM mepA_2 C1Q91_005014 D3C88_26930 EPS76_05790 EWK56_23780 FPI65_12345 NCTC9075_02744 PWL68_000578,Escherichia coli,Multidrug-efflux transporter,unreviewed,frozen_detected,UniRef90_Q0P7K3,10
colibactin_genotoxicity,clbN,(gene_exact:clbN) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K4,clbN EPS76_05785 EWK56_23775 FPI65_12340 PWL68_000579,Escherichia coli,Colibactin non-ribosomal peptide synthetase ClbN (Putative non-ribosomal peptide synthetase),unreviewed,frozen_detected,UniRef90_Q0P7K4,10
colibactin_genotoxicity,clbO,(gene_exact:clbO) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K5,clbO C1Q91_005012 EPS76_05780 EWK56_23770 FPI65_12335 PWL68_000580,Escherichia coli,Colibactin polyketide synthase ClbO (Putative polyketide synthase),unreviewed,mapped_but_not_detected,UniRef90_Q0P7K5,0
colibactin_genotoxicity,clbP,(gene_exact:clbP) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K6,clbP D3C88_24740 EPS76_05775 EWK56_23765 FPI65_12330 PWL68_000581,Escherichia coli,Beta-lactamase (EC 3.5.2.6),unreviewed,frozen_detected,UniRef90_Q0P7K6,10
colibactin_genotoxicity,clbQ,(gene_exact:clbQ) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K7,clbQ lgrE D3C88_24735 EPS76_05770 EWK56_23760 FPI65_12325 NCTC9075_02751 PWL68_000582,Escherichia coli,Thioesterase (EC 1.1.-.-) (Putative thioesterase),unreviewed,frozen_detected,UniRef90_Q0P7K7,10
colibactin_genotoxicity,clbR,(gene_exact:clbR) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J1,clbR yhjB_4 C1Q91_004438 D3C88_04905 EPS76_26835 EWK56_24805 FPI65_12410 NCTC9075_02711 PWL68_000567,Escherichia coli,Transcriptional regulator (Putative regulatory protein),unreviewed,frozen_detected,UniRef90_Q0P7J1,9
colibactin_genotoxicity,clbS,(gene_exact:clbS) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7K8,clbS C1Q91_005009 D3C88_24730 DNX30_29170 EWK56_23755 FPI65_12320 NCTC9075_02752 PWL68_000583,Escherichia coli,Colibactin self-protection protein ClbS (Uncharacterized conserved protein),unreviewed,mapped_but_not_detected,UniRef90_A8AEW4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q4U4E8,fadA,Fusobacterium nucleatum,Adhesin A,unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q4U4F1,fadA,Fusobacterium nucleatum,Adhesin A,unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q4U4F3,fadA CJ209_02530,Fusobacterium nucleatum,Adhesin A (Adhesion protein FadA),unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q4U4F4,fadA PSR69_07960,Fusobacterium nucleatum,Adhesin A (Adhesion protein FadA),unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q4U4F7,fadA,Fusobacterium nucleatum,Adhesin A,unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fadA,(gene_exact:fadA) AND (taxonomy_id:851),https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,Q5I6B0,fadA DNF10_04660,Fusobacterium nucleatum,Adhesion A (Adhesion protein FadA),unreviewed,mapped_but_not_detected,UniRef90_A0ABR4WNH4,0
fusobacterial_adhesion,fap2,"(gene:fap2) AND (organism_name:""Fusobacterium nucleatum"")",https://pmc.ncbi.nlm.nih.gov/articles/PMC5465824/,A0ABV3Y820,fap2 AB6N33_01730,Fusobacterium vincentii (Fusobacterium nucleatum subsp. vincentii),Galactose-inhibitable autotransporter adhesin Fap2,unreviewed,mapped_but_not_detected,UniRef90_A0ABV3Y820,0
secondary_bile_acid,baiA1,"(gene:baiA1) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,B0NHE4,baiA1 HDCHBGLK_02470,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),3alpha-hydroxybile acid CoA 3-dehydrogenase (EC 1.1.1.395),unreviewed,frozen_detected,UniRef90_P19337,9
secondary_bile_acid,baiA1,"(gene:baiA1) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P07914,baiA1; baiA3,Clostridium scindens (strain JCM 10418 / VPI 12708),3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 1/3) (3alpha-HSDH 1/3) (Bile acid-inducible protein BaiA1) (Bile acid-inducible protein BaiA3),reviewed,frozen_detected,UniRef90_P19337,9
secondary_bile_acid,baiA2,"(gene:baiA2) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,B0NI17,baiA2 HDCHBGLK_01433,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid 7-dehydroxylase 2 (EC 1.1.1.395),unreviewed,mapped_but_not_detected,UniRef90_B0NI17,0
secondary_bile_acid,baiA2,"(gene:baiA2) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19337,baiA2,Clostridium scindens (strain JCM 10418 / VPI 12708),3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 2 (EC 1.1.1.395) (3alpha-hydroxysteroid dehydrogenase 2) (3alpha-HSDH 2) (Bile acid-inducible protein BaiA2),reviewed,frozen_detected,UniRef90_P19337,9
secondary_bile_acid,baiB,"(gene:baiB) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,A0A494WIV0,baiB HDCHBGLK_01430,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid-coenzyme A ligase (EC 6.-.-.-),unreviewed,frozen_detected,UniRef90_P19409,9
secondary_bile_acid,baiB,"(gene:baiB) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19409,baiB,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid--coenzyme A ligase (EC 6.2.1.7) (Cholate--CoA ligase),reviewed,frozen_detected,UniRef90_P19409,9
secondary_bile_acid,baiC,"(gene:baiC) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19410,baiCD baiC baiD,Clostridium scindens (strain JCM 10418 / VPI 12708),3-oxocholoyl-CoA 4-desaturase (EC 1.3.1.115) (Bile acid-inducible operon protein C) (Bile acid-inducible operon protein CD) (Bile acid-inducible operon protein D),reviewed,frozen_detected,UniRef90_P19410,9
secondary_bile_acid,baiD,"(gene:baiD) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19410,baiCD baiC baiD,Clostridium scindens (strain JCM 10418 / VPI 12708),3-oxocholoyl-CoA 4-desaturase (EC 1.3.1.115) (Bile acid-inducible operon protein C) (Bile acid-inducible operon protein CD) (Bile acid-inducible operon protein D),reviewed,frozen_detected,UniRef90_P19410,9
secondary_bile_acid,baiE,"(gene:baiE) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,A0A494WPI3,baiE HDCHBGLK_01432,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid 7-alpha dehydratase (EC 4.2.1.106),unreviewed,frozen_detected,UniRef90_P19412,8
secondary_bile_acid,baiE,"(gene:baiE) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19412,baiE,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid 7alpha-dehydratase (BA7alphaD) (EC 4.2.1.106) (Bile acid-inducible operon protein E) (C24 bile acid 7alpha-dehydratase),reviewed,frozen_detected,UniRef90_P19412,8
secondary_bile_acid,baiF,"(gene:baiF) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,B0NI16,baiF HDCHBGLK_01434,Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19),Bile acid-CoA transferase (EC 2.8.3.25),unreviewed,frozen_detected,UniRef90_P19413,8
secondary_bile_acid,baiF,"(gene:baiF) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P19413,baiF,Clostridium scindens (strain JCM 10418 / VPI 12708),Bile acid CoA-transferase BaiF (EC 2.8.3.25) (Bile acid coenzyme A transferase) (Bile acid-inducible operon protein F) (Lithocholoyl-CoA:cholate CoA-transferase),reviewed,frozen_detected,UniRef90_P19413,8
secondary_bile_acid,baiH,"(gene:baiH) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,P32370,baiH,Clostridium scindens (strain JCM 10418 / VPI 12708),7-beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase (EC 1.3.1.116) (NADH-dependent flavin oxidoreductase) (NADH:flavin oxidoreductase) (NADH:FOR),reviewed,frozen_detected,UniRef90_P32370,10
secondary_bile_acid,baiJ,"(gene:baiJ) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,,,,,,no_uniprot_hit,,0
secondary_bile_acid,baiP,"(gene:baiP) AND (organism_name:""Clostridium scindens"")",https://pubmed.ncbi.nlm.nih.gov/36343662/,,,,,,no_uniprot_hit,,0
