panel_id,source_table_row,strain,host,country,isolation_source,source_group,pathotype,phylogroup,sequence_type,pks_status,wgs_accession,short_read_run,download_url
watanabe_2021_human_pks_positive,52,JML201,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFSS01000000,DRR102875,https://getentry.ddbj.nig.ac.jp/getentry/na/BFSS01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,53,JML211,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFTA01000000,DRR102883,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTA01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,54,JML212,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFTB01000000,DRR102884,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,55,JML221,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFTG01000000,DRR102889,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,56,JML223,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFTI01000000,DRR102891,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTI01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,57,JML225,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFTK01000000,DRR102893,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTK01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,58,JML226,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFTL01000000,DRR102894,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTL01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,59,JML228,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFTN01000000,DRR102896,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTN01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,60,JML232,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFTQ01000000,DRR102899,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTQ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,61,JML240,human,Japan,feces,fecal_commensal,commensal,B2,12,positive_reported_by_source,BFTX01000000,DRR102906,https://getentry.ddbj.nig.ac.jp/getentry/na/BFTX01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,62,JML248,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFUB01000000,DRR102910,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,63,JML251,human,Japan,feces,fecal_commensal,commensal,B2,141,positive_reported_by_source,BFUE01000000,DRR102913,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUE01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,64,JML255,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFUG01000000,DRR102915,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,65,JML261,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFUI01000000,DRR102917,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUI01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,66,JML262,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFUJ01000000,DRR102918,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUJ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,67,JML266,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFUN01000000,DRR102922,https://getentry.ddbj.nig.ac.jp/getentry/na/BFUN01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,68,JML282,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVC01000000,DRR102937,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVC01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,69,JML285,human,Japan,feces,fecal_commensal,commensal,B1,109,positive_reported_by_source,BFVF01000000,DRR102940,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVF01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,70,JML287,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVG01000000,DRR102941,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,71,JML288,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVH01000000,DRR102942,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVH01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,72,JML290,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVI01000000,DRR102943,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVI01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,73,JML291,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVJ01000000,DRR102944,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVJ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,74,JML294,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVL01000000,DRR102947,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVL01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,75,JML296,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFVN01000000,DRR102949,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVN01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,76,JML298,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFVP01000000,DRR102951,https://getentry.ddbj.nig.ac.jp/getentry/na/BFVP01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,77,CM1,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFGW01000000,DRR102567,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGW01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,78,CM12,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFGQ01000000,DRR102561,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGQ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,79,CM15,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFGS01000000,DRR102563,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGS01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,80,CM16,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFGT01000000,DRR102564,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGT01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,81,CM17,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFGU01000000,DRR102565,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGU01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,82,CM18,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,12,positive_reported_by_source,BFGV01000000,DRR102566,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGV01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,83,CM32,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFGZ01000000,DRR102570,https://getentry.ddbj.nig.ac.jp/getentry/na/BFGZ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,84,ECSC003,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFHC01000000,DRR102573,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHC01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,85,ECSC005,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFHE01000000,DRR102575,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHE01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,86,ECSC006,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,550,positive_reported_by_source,BFHF01000000,DRR102576,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHF01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,87,ECSC007,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFHG01000000,DRR102577,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,88,ECSC009,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFHH01000000,DRR102578,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHH01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,89,ECSC010,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,14,positive_reported_by_source,BFHI01000000,DRR102579,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHI01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,90,ECSC024,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFHT01000000,DRR102590,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHT01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,91,ECSC028,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,5389,positive_reported_by_source,BFHX01000000,DRR102594,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHX01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,92,ECSC029,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFHY01000000,DRR102595,https://getentry.ddbj.nig.ac.jp/getentry/na/BFHY01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,93,ECSC032,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFIB01000000,DRR102598,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,94,ECSC033,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFIC01000000,DRR102599,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIC01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,95,ECSC037,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,141,positive_reported_by_source,BFIG01000000,DRR102603,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,96,ECSC045,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFIN01000000,DRR102610,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIN01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,97,ECSC046,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFIO01000000,DRR102611,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIO01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,98,ECSC054,human,Japan,blood,extraintestinal_clinical,ExPEC,D,38,positive_reported_by_source,BFIU01000000,DRR102617,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIU01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,99,ECSC058,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFIX01000000,DRR102620,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIX01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,100,ECSC061,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFIZ01000000,DRR102622,https://getentry.ddbj.nig.ac.jp/getentry/na/BFIZ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,101,ECSC063,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFJB01000000,DRR102624,https://getentry.ddbj.nig.ac.jp/getentry/na/BFJB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,102,ECSC068,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BFJG01000000,DRR102629,https://getentry.ddbj.nig.ac.jp/getentry/na/BFJG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,103,ECSC076,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BFJM01000000,DRR102635,https://getentry.ddbj.nig.ac.jp/getentry/na/BFJM01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,104,ECSC078,human,Japan,blood,extraintestinal_clinical,ExPEC,B2,961,positive_reported_by_source,BFJO01000000,DRR102637,https://getentry.ddbj.nig.ac.jp/getentry/na/BFJO01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,105,UPEC04,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BGJL01000000,DRR103311,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJL01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,106,UPEC06,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BGJM01000000,DRR103312,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJM01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,107,UPEC121,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BGJO01000000,DRR103314,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJO01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,108,UPEC129,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BGJP01000000,DRR103315,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJP01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,109,UPEC57,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BGJR01000000,DRR103317,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJR01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,110,UPEC79,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,73,positive_reported_by_source,BGJT01000000,DRR103319,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJT01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,111,UPEC91,human,Japan,urine,extraintestinal_clinical,ExPEC,B2,95,positive_reported_by_source,BGJV01000000,DRR103321,https://getentry.ddbj.nig.ac.jp/getentry/na/BGJV01000000?format=fasta&filetype=text&limit=0
