gene_id,taxon,abundance,taxon_fraction
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_oleiciplenus,1.2955832e-06,0.00016326426935193725
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_caecimuris,9.6235e-07,0.00012127153980604009
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,0.0019018164799,0.20841673061208185
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_thetaiotaomicron,0.00178912925618,0.19606753551481906
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_xylanisolvens,0.0017420675814,0.19091012916229214
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_caccae,0.00139770539701,0.15317208168214175
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_fragilis_CAG_47,0.00086217896247,0.0944846794943972
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_fragilis,0.00076259009021,0.08357090974787318
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_faecis,0.0002513098555,0.027540606050831352
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_cellulosilyticus,0.00017966222531,0.019688867989812724
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_nordii,0.0001198308991,0.01313205794601247
UniRef90_W6P8M8,unclassified,8.81551956e-05,0.009660773185847385
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_sp_D2,2.42353685e-05,0.0026559115042554607
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_caecimuris,6.384965e-06,0.0006997171096353855
